"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Status"
"rose-noir-perfume","Rose Noir Perfume","<p>A deep, mysterious floral fragrance.</p>","Lucent N","Perfume","fragrances,signature-scents,trending-now","TRUE","Size","50ml","LN-PF-001","250","shopify","100","deny","manual","7490","8990","TRUE","TRUE","","","active"
"amber-dusk-perfume","Amber Dusk Perfume","<p>Warm amber and golden vanilla notes.</p>","Lucent N","Perfume","fragrances,signature-scents","TRUE","Size","50ml","LN-PF-002","250","shopify","100","deny","manual","7690","9190","TRUE","TRUE","","","active"
"oud-velvet-perfume","Oud Velvet Perfume","<p>Rich agarwood blended with soft velvet musk.</p>","Lucent N","Perfume","fragrances,signature-scents","TRUE","Size","50ml","LN-PF-003","250","shopify","100","deny","manual","8290","9790","TRUE","TRUE","","","active"
"midnight-bloom-perfume","Midnight Bloom","<p>Captivating night-blooming jasmine.</p>","Lucent N","Perfume","fragrances,signature-scents,trending-now","TRUE","Size","50ml","LN-PF-004","250","shopify","100","deny","manual","7890","9490","TRUE","TRUE","","","active"
"luna-pearl-necklace","Luna Pearl Necklace","<p>Lustrous freshwater pearls on a gold chain.</p>","Lucent N","Jewelry","jewelry,artisanal-jewelry,trending-now","TRUE","Size","Standard","LN-JW-001","150","shopify","100","deny","manual","4590","5990","TRUE","TRUE","","","active"
"aurora-gold-hoops","Aurora Gold Hoops","<p>Lightweight architectural hoops in gold.</p>","Lucent N","Jewelry","jewelry,artisanal-jewelry","TRUE","Size","Standard","LN-JW-002","120","shopify","100","deny","manual","3290","4290","TRUE","TRUE","","","active"
"starry-night-studs","Starry Night Studs","<p>Dainty gold studs with a zircon center.</p>","Lucent N","Jewelry","jewelry,artisanal-jewelry","TRUE","Size","Standard","LN-JW-003","50","shopify","100","deny","manual","2190","2890","TRUE","TRUE","","","active"
"emerald-leaf-ring","Emerald Leaf Ring","<p>A delicate gold band with emerald stones.</p>","Lucent N","Jewelry","jewelry,artisanal-jewelry","TRUE","Size","7","LN-JW-004","80","shopify","100","deny","manual","2890","3790","TRUE","TRUE","","","active"
"velvet-eve-abaya","Velvet Eve Abaya","<p>A masterclass in modest luxury.</p>","Lucent N","Garments","garments,abaya,trending-now","TRUE","Size","M","LN-GR-001","600","shopify","80","deny","manual","8990","10990","TRUE","TRUE","","","active"
"noor-satin-kurta","Noor Satin Kurta","<p>Luminous satin finish in a contemporary cut.</p>","Lucent N","Garments","garments,abaya","TRUE","Size","M","LN-GR-002","480","shopify","90","deny","manual","6590","8090","TRUE","TRUE","","","active"
"rose-drape-maxi","Rose Drape Maxi","<p>Flowing silhouette in a desert rose hue.</p>","Lucent N","Garments","garments,abaya","TRUE","Size","M","LN-GR-003","520","shopify","90","deny","manual","7190","8790","TRUE","TRUE","","","active"
"silk-organza-dress","Silk Organza Dress","<p>Ethereal organza dress with a floral print.</p>","Lucent N","Garments","garments,abaya,trending-now","TRUE","Size","M","LN-GR-004","450","shopify","100","deny","manual","9890","12490","TRUE","TRUE","","","active"
"silk-vanity-kit","Silk Vanity Kit","<p>Mulberry silk accessories for self-care.</p>","Lucent N","Lifestyle","lifestyle,lifestyle-essentials,trending-now","TRUE","Size","Standard","LN-LS-001","450","shopify","100","deny","manual","5190","6490","TRUE","TRUE","","","active"
"blush-beauty-pouch","Blush Beauty Pouch","<p>Elegant storage for your daily essentials.</p>","Lucent N","Lifestyle","lifestyle,lifestyle-essentials","TRUE","Size","Standard","LN-LS-002","250","shopify","100","deny","manual","2490","3290","TRUE","TRUE","","","active"
"midnight-selfcare-box","Midnight Selfcare Box","<p>A curated experience of calm.</p>","Lucent N","Lifestyle","lifestyle,lifestyle-essentials,trending-now","TRUE","Size","Standard","LN-LS-003","600","shopify","100","deny","manual","6790","8190","TRUE","TRUE","","","active"
"scented-candle-gold","Scented Candle - Gold","<p>A blend of white tea and thyme.</p>","Lucent N","Lifestyle","lifestyle,lifestyle-essentials","TRUE","Size","Standard","LN-LS-004","500","shopify","100","deny","manual","3290","4290","TRUE","TRUE","","","active"
