"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Status"
"rose-noir-perfume","Rose Noir Perfume","<p>A deep, mysterious floral fragrance with Bulgarian rose and dark patchouli.</p>","Lucent N²","Perfume","fragrances,new-arrivals,signature-scents,trending-now","TRUE","Size","50ml","LN-PF-001","250","shopify","100","deny","manual","7490","8990","TRUE","TRUE","https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&q=80&w=800","1","active"
"amber-dusk-perfume","Amber Dusk Perfume","<p>Warm amber and golden vanilla notes for a sophisticated evening aura.</p>","Lucent N²","Perfume","fragrances,signature-scents","TRUE","Size","50ml","LN-PF-002","250","shopify","100","deny","manual","7690","9190","TRUE","TRUE","https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?auto=format&fit=crop&q=80&w=800","1","active"
"oud-velvet-perfume","Oud Velvet Perfume","<p>Rich agarwood blended with soft velvet musk. Pure signature luxury.</p>","Lucent N²","Perfume","fragrances,signature-scents,premium-collection","TRUE","Size","50ml","LN-PF-003","250","shopify","100","deny","manual","8290","9790","TRUE","TRUE","https://images.unsplash.com/photo-1563170351-be82bc888bb4?auto=format&fit=crop&q=80&w=800","1","active"
"midnight-bloom-perfume","Midnight Bloom","<p>Captivating night-blooming jasmine with a bold sandalwood finish.</p>","Lucent N²","Perfume","fragrances,signature-scents,trending-now","TRUE","Size","50ml","LN-PF-004","250","shopify","100","deny","manual","7890","9490","TRUE","TRUE","https://images.unsplash.com/photo-1557170334-a9632e77c6e4?auto=format&fit=crop&q=80&w=800","1","active"
"citrus-gold-perfume","Citrus Gold","<p>Bright bergamot and neroli with a hint of white ginger. Refreshing.</p>","Lucent N²","Perfume","fragrances,signature-scents","TRUE","Size","50ml","LN-PF-005","250","shopify","100","deny","manual","6990","8490","TRUE","TRUE","https://images.unsplash.com/photo-1594035910387-fea47794261f?auto=format&fit=crop&q=80&w=800","1","active"
"vanilla-sky-perfume","Vanilla Sky","<p>Sweet Madagascar vanilla with a base of warm tonka bean and musk.</p>","Lucent N²","Perfume","fragrances,signature-scents","TRUE","Size","50ml","LN-PF-006","250","shopify","100","deny","manual","7190","8690","TRUE","TRUE","https://images.unsplash.com/photo-1512201066733-1f731766a71c?auto=format&fit=crop&q=80&w=800","1","active"
"ocean-mist-perfume","Ocean Mist","<p>Fresh sea salt and aquatic notes for a light, breezy coastal feel.</p>","Lucent N²","Perfume","fragrances,signature-scents","TRUE","Size","50ml","LN-PF-007","250","shopify","100","deny","manual","6590","7990","TRUE","TRUE","https://images.unsplash.com/photo-1615485290382-441e4d019cb0?auto=format&fit=crop&q=80&w=800","1","active"
"velvet-rose-perfume","Velvet Rose","<p>A sophisticated blend of Damask rose, saffron, and dark oud.</p>","Lucent N²","Perfume","fragrances,signature-scents","TRUE","Size","50ml","LN-PF-008","250","shopify","100","deny","manual","8490","9990","TRUE","TRUE","https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?auto=format&fit=crop&q=80&w=800","1","active"
"luna-pearl-necklace","Luna Pearl Necklace","<p>Lustrous freshwater pearls on an 18K gold-plated signature chain.</p>","Lucent N²","Jewelry","jewelry,artisanal-jewelry,trending-now","TRUE","Size","Standard","LN-JW-001","150","shopify","100","deny","manual","4590","5990","TRUE","TRUE","https://images.unsplash.com/photo-1599643478518-a744c5b7f39d?auto=format&fit=crop&q=80&w=800","1","active"
"aurora-gold-hoops","Aurora Gold Hoops","<p>Lightweight architectural hoops in polished 18K gold. Daily luxury.</p>","Lucent N²","Jewelry","jewelry,artisanal-jewelry","TRUE","Size","Standard","LN-JW-002","120","shopify","100","deny","manual","3290","4290","TRUE","TRUE","https://images.unsplash.com/photo-1535633302704-b02f4f16a04e?auto=format&fit=crop&q=80&w=800","1","active"
"starry-night-studs","Starry Night Studs","<p>Dainty gold studs with a tiny zircon center that sparkles like a star.</p>","Lucent N²","Jewelry","jewelry,artisanal-jewelry","TRUE","Size","Standard","LN-JW-003","50","shopify","100","deny","manual","2190","2890","TRUE","TRUE","https://images.unsplash.com/photo-1611591437281-460bfbe1220a?auto=format&fit=crop&q=80&w=800","1","active"
"emerald-leaf-ring","Emerald Leaf Ring","<p>A delicate gold band featuring a leaf motif with emerald-toned stones.</p>","Lucent N²","Jewelry","jewelry,artisanal-jewelry","TRUE","Size","7","LN-JW-004","80","shopify","100","deny","manual","2890","3790","TRUE","TRUE","https://images.unsplash.com/photo-1605100804763-247f67b3557e?auto=format&fit=crop&q=80&w=800","1","active"
