"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Status"
"rose-noir-perfume","Rose Noir Perfume","<p>A deep, mysterious floral fragrance.</p>","Lucent N","Perfume","fragrances,signature-scents,trending-now","TRUE","Size","50ml","LN-PF-001","250","shopify","100","deny","manual","7490","8990","TRUE","TRUE","https://images.unsplash.com/photo-1541643600914-78b084683601?auto=format&fit=crop&q=80&w=800","1","active"
"amber-dusk-perfume","Amber Dusk Perfume","<p>Warm amber and golden vanilla notes.</p>","Lucent N","Perfume","fragrances,signature-scents","TRUE","Size","50ml","LN-PF-002","250","shopify","100","deny","manual","7690","9190","TRUE","TRUE","https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?auto=format&fit=crop&q=80&w=800","1","active"
"oud-velvet-perfume","Oud Velvet Perfume","<p>Rich agarwood blended with soft velvet musk.</p>","Lucent N","Perfume","fragrances,signature-scents","TRUE","Size","50ml","LN-PF-003","250","shopify","100","deny","manual","8290","9790","TRUE","TRUE","https://images.unsplash.com/photo-1563170351-be82bc888bb4?auto=format&fit=crop&q=80&w=800","1","active"
"midnight-bloom-perfume","Midnight Bloom","<p>Captivating night-blooming jasmine.</p>","Lucent N","Perfume","fragrances,signature-scents,trending-now","TRUE","Size","50ml","LN-PF-004","250","shopify","100","deny","manual","7890","9490","TRUE","TRUE","https://images.unsplash.com/photo-1557170334-a9632e77c6e4?auto=format&fit=crop&q=80&w=800","1","active"
"luna-pearl-necklace","Luna Pearl Necklace","<p>Lustrous freshwater pearls on a gold chain.</p>","Lucent N","Jewelry","jewelry,artisanal-jewelry,trending-now","TRUE","Size","Standard","LN-JW-001","150","shopify","100","deny","manual","4590","5990","TRUE","TRUE","https://images.unsplash.com/photo-1599643478518-a744c5b7f39d?auto=format&fit=crop&q=80&w=800","1","active"
"aurora-gold-hoops","Aurora Gold Hoops","<p>Lightweight architectural hoops in gold.</p>","Lucent N","Jewelry","jewelry,artisanal-jewelry","TRUE","Size","Standard","LN-JW-002","120","shopify","100","deny","manual","3290","4290","TRUE","TRUE","https://images.unsplash.com/photo-1535633302704-b02f4f16a04e?auto=format&fit=crop&q=80&w=800","1","active"
"starry-night-studs","Starry Night Studs","<p>Dainty gold studs with a zircon center.</p>","Lucent N","Jewelry","jewelry,artisanal-jewelry","TRUE","Size","Standard","LN-JW-003","50","shopify","100","deny","manual","2190","2890","TRUE","TRUE","https://images.unsplash.com/photo-1611591437281-460bfbe1220a?auto=format&fit=crop&q=80&w=800","1","active"
"emerald-leaf-ring","Emerald Leaf Ring","<p>A delicate gold band with emerald stones.</p>","Lucent N","Jewelry","jewelry,artisanal-jewelry","TRUE","Size","7","LN-JW-004","80","shopify","100","deny","manual","2890","3790","TRUE","TRUE","https://images.unsplash.com/photo-1605100804763-247f67b3557e?auto=format&fit=crop&q=80&w=800","1","active"
"velvet-eve-abaya","Velvet Eve Abaya","<p>A masterclass in modest luxury.</p>","Lucent N","Garments","garments,abaya,trending-now","TRUE","Size","M","LN-GR-001","600","shopify","80","deny","manual","8990","10990","TRUE","TRUE","https://images.unsplash.com/photo-1567401893414-76b7b1e5a7a5?auto=format&fit=crop&q=80&w=800","1","active"
"noor-satin-kurta","Noor Satin Kurta","<p>Luminous satin finish in a contemporary cut.</p>","Lucent N","Garments","garments,abaya","TRUE","Size","M","LN-GR-002","480","shopify","90","deny","manual","6590","8090","TRUE","TRUE","https://images.unsplash.com/photo-1496747611176-843222e1e57c?auto=format&fit=crop&q=80&w=800","1","active"
"rose-drape-maxi","Rose Drape Maxi","<p>Flowing silhouette in a desert rose hue.</p>","Lucent N","Garments","garments,abaya","TRUE","Size","M","LN-GR-003","520","shopify","90","deny","manual","7190","8790","TRUE","TRUE","https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?auto=format&fit=crop&q=80&w=800","1","active"
"silk-organza-dress","Silk Organza Dress","<p>Ethereal organza dress with a floral print.</p>","Lucent N","Garments","garments,abaya,trending-now","TRUE","Size","M","LN-GR-004","450","shopify","100","deny","manual","9890","12490","TRUE","TRUE","https://images.unsplash.com/photo-1539109132314-d4d8b0577435?auto=format&fit=crop&q=80&w=800","1","active"
"silk-vanity-kit","Silk Vanity Kit","<p>Mulberry silk accessories for self-care.</p>","Lucent N","Lifestyle","lifestyle,lifestyle-essentials,trending-now","TRUE","Size","Standard","LN-LS-001","450","shopify","100","deny","manual","5190","6490","TRUE","TRUE","https://images.unsplash.com/photo-1591047139829-d91aecb6caea?auto=format&fit=crop&q=80&w=800","1","active"
"blush-beauty-pouch","Blush Beauty Pouch","<p>Elegant storage for your daily essentials.</p>","Lucent N","Lifestyle","lifestyle,lifestyle-essentials","TRUE","Size","Standard","LN-LS-002","250","shopify","100","deny","manual","2490","3290","TRUE","TRUE","https://images.unsplash.com/photo-1612160608502-ff7af7737d6e?auto=format&fit=crop&q=80&w=800","1","active"
"midnight-selfcare-box","Midnight Selfcare Box","<p>A curated experience of calm.</p>","Lucent N","Lifestyle","lifestyle,lifestyle-essentials,trending-now","TRUE","Size","Standard","LN-LS-003","600","shopify","100","deny","manual","6790","8190","TRUE","TRUE","https://images.unsplash.com/photo-1584622650111-993a426fbf0a?auto=format&fit=crop&q=80&w=800","1","active"
"scented-candle-gold","Scented Candle - Gold","<p>A blend of white tea and thyme.</p>","Lucent N","Lifestyle","lifestyle,lifestyle-essentials","TRUE","Size","Standard","LN-LS-004","500","shopify","100","deny","manual","3290","4290","TRUE","TRUE","https://images.unsplash.com/photo-1602874801007-bd458bb1b8b6?auto=format&fit=crop&q=80&w=800","1","active"
